Password,Times
jbeiwvutvn,1.0
gxjys,0.0
pistjt,0.0
tjkgpas,0.0
tyxbqsypx,0.0
pxaj,0.0
cvbupcp,1.0
kqmmpgaiz,0.0
mpnmfsfm,0.0
hsysss,0.0
asxxymq,0.0
rclpb,1.0
jtgay,0.0
nhngi,0.0
idbbmq,1.0
kzzy,0.0
gsqzytsshg,0.0
xnpxyksn,0.0
yppsyk,0.0
ospptm,0.0
omsbmn,0.0
skgpyqq,0.0
qpmyft,0.0
siqnsyxx,0.0
mogzjx,0.0
ixxgjp,0.0
qkymmonnx,0.0
hptxqmkojp,0.0
zsmq,0.0
